year,count_date,fish_count,Species,Species_ID,count_location,count_location_ID
2012,1-Jul,3970,Sockeye,420,Kenai River (late-run sockeye),40
2012,2-Jul,8970,Sockeye,420,Kenai River (late-run sockeye),40
2012,3-Jul,7067,Sockeye,420,Kenai River (late-run sockeye),40
2012,4-Jul,5514,Sockeye,420,Kenai River (late-run sockeye),40
2012,5-Jul,4913,Sockeye,420,Kenai River (late-run sockeye),40
2012,6-Jul,3426,Sockeye,420,Kenai River (late-run sockeye),40
2012,7-Jul,3648,Sockeye,420,Kenai River (late-run sockeye),40
2012,8-Jul,5466,Sockeye,420,Kenai River (late-run sockeye),40
2012,9-Jul,6470,Sockeye,420,Kenai River (late-run sockeye),40
2012,10-Jul,6774,Sockeye,420,Kenai River (late-run sockeye),40
2012,11-Jul,12054,Sockeye,420,Kenai River (late-run sockeye),40
2012,12-Jul,9726,Sockeye,420,Kenai River (late-run sockeye),40
2012,13-Jul,10548,Sockeye,420,Kenai River (late-run sockeye),40
2012,14-Jul,20214,Sockeye,420,Kenai River (late-run sockeye),40
2012,15-Jul,119274,Sockeye,420,Kenai River (late-run sockeye),40
2012,16-Jul,196356,Sockeye,420,Kenai River (late-run sockeye),40
2012,17-Jul,72726,Sockeye,420,Kenai River (late-run sockeye),40
2012,18-Jul,31606,Sockeye,420,Kenai River (late-run sockeye),40
2012,19-Jul,28722,Sockeye,420,Kenai River (late-run sockeye),40
2012,20-Jul,40230,Sockeye,420,Kenai River (late-run sockeye),40
2012,21-Jul,97914,Sockeye,420,Kenai River (late-run sockeye),40
2012,22-Jul,110898,Sockeye,420,Kenai River (late-run sockeye),40
2012,23-Jul,88255,Sockeye,420,Kenai River (late-run sockeye),40
2012,24-Jul,51222,Sockeye,420,Kenai River (late-run sockeye),40
2012,25-Jul,61420,Sockeye,420,Kenai River (late-run sockeye),40
2012,26-Jul,61812,Sockeye,420,Kenai River (late-run sockeye),40
2012,27-Jul,65250,Sockeye,420,Kenai River (late-run sockeye),40
2012,28-Jul,63438,Sockeye,420,Kenai River (late-run sockeye),40
2012,29-Jul,69870,Sockeye,420,Kenai River (late-run sockeye),40
2012,30-Jul,43494,Sockeye,420,Kenai River (late-run sockeye),40
2012,31-Jul,40920,Sockeye,420,Kenai River (late-run sockeye),40
2012,1-Aug,24876,Sockeye,420,Kenai River (late-run sockeye),40
2012,2-Aug,25284,Sockeye,420,Kenai River (late-run sockeye),40
2012,3-Aug,18102,Sockeye,420,Kenai River (late-run sockeye),40
2012,4-Aug,16908,Sockeye,420,Kenai River (late-run sockeye),40
2012,5-Aug,22080,Sockeye,420,Kenai River (late-run sockeye),40
2012,6-Aug,14604,Sockeye,420,Kenai River (late-run sockeye),40
2012,7-Aug,10278,Sockeye,420,Kenai River (late-run sockeye),40
2012,8-Aug,10764,Sockeye,420,Kenai River (late-run sockeye),40
2012,9-Aug,11118,Sockeye,420,Kenai River (late-run sockeye),40
2012,10-Aug,13968,Sockeye,420,Kenai River (late-run sockeye),40
2012,11-Aug,9560,Sockeye,420,Kenai River (late-run sockeye),40
2012,12-Aug,10309,Sockeye,420,Kenai River (late-run sockeye),40
2012,13-Aug,8273,Sockeye,420,Kenai River (late-run sockeye),40
2012,14-Aug,13338,Sockeye,420,Kenai River (late-run sockeye),40
2012,15-Aug,13709,Sockeye,420,Kenai River (late-run sockeye),40
2012,16-Aug,6217,Sockeye,420,Kenai River (late-run sockeye),40
2011,1-Jul,2256,Sockeye,420,Kenai River (late-run sockeye),40
2011,2-Jul,4260,Sockeye,420,Kenai River (late-run sockeye),40
2011,3-Jul,3084,Sockeye,420,Kenai River (late-run sockeye),40
2011,4-Jul,2244,Sockeye,420,Kenai River (late-run sockeye),40
2011,5-Jul,4272,Sockeye,420,Kenai River (late-run sockeye),40
2011,6-Jul,4647,Sockeye,420,Kenai River (late-run sockeye),40
2011,7-Jul,5302,Sockeye,420,Kenai River (late-run sockeye),40
2011,8-Jul,4737,Sockeye,420,Kenai River (late-run sockeye),40
2011,9-Jul,6522,Sockeye,420,Kenai River (late-run sockeye),40
2011,10-Jul,6846,Sockeye,420,Kenai River (late-run sockeye),40
2011,11-Jul,3510,Sockeye,420,Kenai River (late-run sockeye),40
2011,12-Jul,3102,Sockeye,420,Kenai River (late-run sockeye),40
2011,13-Jul,3822,Sockeye,420,Kenai River (late-run sockeye),40
2011,14-Jul,6400,Sockeye,420,Kenai River (late-run sockeye),40
2011,15-Jul,2916,Sockeye,420,Kenai River (late-run sockeye),40
2011,16-Jul,27826,Sockeye,420,Kenai River (late-run sockeye),40
2011,17-Jul,230643,Sockeye,420,Kenai River (late-run sockeye),40
2011,18-Jul,177053,Sockeye,420,Kenai River (late-run sockeye),40
2011,19-Jul,87978,Sockeye,420,Kenai River (late-run sockeye),40
2011,20-Jul,113178,Sockeye,420,Kenai River (late-run sockeye),40
2011,21-Jul,90426,Sockeye,420,Kenai River (late-run sockeye),40
2011,22-Jul,37974,Sockeye,420,Kenai River (late-run sockeye),40
2011,23-Jul,106313,Sockeye,420,Kenai River (late-run sockeye),40
2011,24-Jul,110772,Sockeye,420,Kenai River (late-run sockeye),40
2011,25-Jul,79518,Sockeye,420,Kenai River (late-run sockeye),40
2011,26-Jul,77982,Sockeye,420,Kenai River (late-run sockeye),40
2011,27-Jul,73092,Sockeye,420,Kenai River (late-run sockeye),40
2011,28-Jul,55470,Sockeye,420,Kenai River (late-run sockeye),40
2011,29-Jul,36540,Sockeye,420,Kenai River (late-run sockeye),40
2011,30-Jul,30384,Sockeye,420,Kenai River (late-run sockeye),40
2011,31-Jul,18240,Sockeye,420,Kenai River (late-run sockeye),40
2011,1-Aug,21714,Sockeye,420,Kenai River (late-run sockeye),40
2011,2-Aug,20707,Sockeye,420,Kenai River (late-run sockeye),40
2011,3-Aug,10396,Sockeye,420,Kenai River (late-run sockeye),40
2011,4-Aug,10074,Sockeye,420,Kenai River (late-run sockeye),40
2011,5-Aug,11220,Sockeye,420,Kenai River (late-run sockeye),40
2011,6-Aug,22086,Sockeye,420,Kenai River (late-run sockeye),40
2011,7-Aug,17316,Sockeye,420,Kenai River (late-run sockeye),40
2011,8-Aug,6114,Sockeye,420,Kenai River (late-run sockeye),40
